1495703403.000000, 1495703403.000000, 1495703403.000000
32.000000, 32.000000, 32.000000
-42,-50,2
-42,-50,2
-44,-50,0
-43,-50,1
-41,-48,3
-44,-50,1
-43,-50,0
-41,-49,3
-42,-48,3
-43,-49,1
-44,-51,0
-44,-51,0
-43,-49,2
-43,-49,3
-41,-49,4
-43,-49,2
-44,-49,2
-41,-50,3
-42,-49,2
-43,-48,3
-41,-48,5
-41,-49,4
-45,-50,1
-42,-49,3
-41,-49,4
-43,-50,2
-44,-50,1
-41,-49,3
-42,-49,2
-42,-50,2
-42,-49,2
-43,-49,2
-43,-49,2
-43,-50,0
-42,-50,1
-43,-49,2
-43,-50,2
-41,-50,1
-43,-49,1
-43,-50,1
-43,-49,1
-41,-50,2
-41,-50,2
-42,-49,1
-43,-50,0
-43,-51,0
-45,-51,-1
-44,-51,0
-42,-49,3
-43,-48,3
-42,-49,1
-41,-49,2
-42,-50,2
-42,-50,1
-42,-50,2
-42,-49,3
-41,-49,4
-42,-50,1
-43,-50,1
-43,-50,1
-40,-49,3
-43,-49,1
-43,-51,1
-42,-50,2
-40,-48,5
-40,-48,4
-40,-49,2
-40,-50,2
-43,-49,0
-40,-48,4
-42,-48,1
-41,-46,1
-40,-45,0
-35,-41,5
-39,-41,4
-43,-41,3
-41,-37,4
-40,-35,4
-40,-33,7
-52,-26,5
-59,-25,1
-52,-20,10
-47,-17,14
-54,-12,8
-55,-7,9
-51,-4,15
-48,8,21
-51,14,19
-58,17,17
-75,28,14
-79,35,16
-57,34,14
-38,36,17
-36,42,21
-34,53,13
-41,58,10
-42,70,9
-42,71,2
-43,69,-1
-51,69,-1
-52,68,-2
-48,63,-3
-41,60,0
-38,57,-1
-38,57,0
-38,55,-1
-37,54,-3
-35,53,-4
-33,54,-9
-33,55,-6
-31,58,-3
-34,56,-4
-31,56,-4
-30,57,-3
-32,58,-4
-32,58,-7
-38,57,-10
-43,58,-18
-42,58,-21
-40,53,-19
-31,57,1
-21,64,25
-25,52,9
-21,49,4
-46,45,-8
-60,38,-10
-28,45,13
-43,45,2
-48,43,-3
-41,42,-3
-60,46,0
-52,41,5
-30,45,14
-16,42,25
-32,36,19
-34,41,12
-33,42,8
-31,39,-3
-32,29,-12
-40,29,-18
-54,43,-20
-62,43,-25
-64,38,-26
-54,46,-27
-48,41,-34
-46,44,-26
-46,53,-9
-31,42,-6
-54,36,-48
-52,43,-42
-28,54,-14
-22,59,-1
-29,67,-6
-30,66,-13
-31,62,-14
-36,57,-17
-35,52,-15
-37,49,-15
-41,47,-16
-42,45,-18
-36,48,-15
-36,51,-17
-40,53,-18
-41,54,-15
-34,54,-10
-28,54,-2
-30,60,-4
-38,60,-10
-35,57,-10
-31,55,-7
-28,50,-7
-31,49,-6
-32,48,-5
-34,48,-7
-36,46,-10
-35,47,-7
-30,51,1
-25,54,3
-27,54,1
-28,56,0
-33,55,-2
-30,54,5
-31,54,9
-53,69,-1
-81,91,-35
-38,68,-40
15,31,-4
8,31,5
-46,42,-22
-52,50,-18
-39,56,-7
-27,58,-10
-26,55,-22
-19,54,-23
-16,49,-24
-26,49,-22
-35,52,-16
-35,53,-12
-36,57,-9
-30,54,-11
-28,52,-12
-31,51,-12
-38,55,-15
-47,64,-15
-45,65,-17
-43,65,-19
-51,65,-33
-52,43,-34
-29,37,-28
-8,50,3
-17,61,-1
-44,56,-20
-49,51,-11
-46,48,-6
-31,41,-8
-23,42,-7
-26,44,-6
-22,44,2
-19,44,6
-32,46,11
-44,47,10
-72,49,-11
-57,74,-25
-33,75,-17
